OBJECTID,CODE,COD,Shape__Area,Shape__Length
1,19120,20,91779697.3743286,49921.5440632462
2,19121,21,69598787.0046997,39534.887217147
3,19122,22,35916319.0804443,24124.6452210099
4,19123,23,35851751.4575195,26421.7289815795
5,19124,24,144808025.341125,63658.7704204779
6,19125,25,48226254.4406738,30113.6045355968
7,19126,26,33066582.1293335,26114.9006371036
8,19127,27,16244292.0494385,29133.8508837893
9,19128,28,196350523.462646,76282.3284267611
10,19102,2,4538804.91656494,13170.2921628987
11,19103,3,20680566.7973022,21810.0248575247
12,19104,4,87855674.6218872,41867.1373717545
13,19106,6,26887740.060791,21331.9857137272
14,19107,7,14867931.1808472,17492.2761431876
15,19109,9,94697.8511352539,1248.21041625606
16,19111,11,145802305.684021,68750.2015290611
17,19112,12,88861621.1055298,48233.604282381
18,19114,14,158663655.787903,58745.7167187501
19,19115,15,130504785.698669,58802.8041129428
20,19116,16,145089807.207397,54945.6782981935
21,19118,18,88769479.8447266,43854.2779436139
22,19119,19,97030626.4019775,43924.0619439142
23,19149,49,65134947.9015503,38438.5439910529
24,19150,50,41759032.9952393,27740.9604976737
25,19151,51,67140815.1898193,41079.6928955693
26,19152,52,86720082.9116211,51045.2456407411
27,19153,53,234181108.276154,85068.6887962217
28,19154,54,180549268.204773,63045.917104314
29,19129,29,55860840.8141479,34436.0691171174
30,19130,30,34184914.0775757,27114.0423632
31,19131,31,152844639.717163,59742.5296131825
32,19132,32,63316437.2085571,37309.0873115425
33,19133,33,34542022.6116333,24547.1433882168
34,19134,34,107777126.498169,45245.3802972753
35,19135,35,76379601.8470459,39197.7354130151
36,19136,36,155297827.772095,53916.0582858908
37,19137,37,81943069.0093994,42884.8625746985
38,19138,38,47914471.0903931,32242.9145692429
39,19139,39,49370291.765686,36666.1856064156
40,19140,40,93089476.4107666,42623.7274451578
41,19141,41,51062510.0759888,34293.7166412127
42,19142,42,47377703.713501,31857.5161714107
43,19143,43,92221358.4360352,45160.3827064111
44,19144,44,94957474.1046753,45080.2746492654
45,19145,45,143058515.352173,58196.9880043795
46,19146,46,49514362.930542,31332.856887264
47,19147,47,49743881.6459961,29555.7650235877
48,19148,48,133342592.7323,45074.5855338175
